gene_id,start,end,seqnames,strand
ENSG00000103196.11,84819984,84889598,chr16,+
ENSG00000092148.12,31100118,31207804,chr14,-
ENSG00000114019.14,134355877,134374447,chr3,-
ENSG00000143549.19,154167747,154192058,chr1,-
ENSG00000086102.18,33290512,33348517,chr9,+
ENSG00000129467.13,24330609,24335093,chr14,-
ENSG00000123124.13,86342738,86467476,chr8,+
ENSG00000168014.16,74107301,74171019,chr11,-
ENSG00000167085.11,49404835,49414880,chr17,-
ENSG00000139160.13,31659688,31669078,chr12,+
ENSG00000084072.16,39738882,39763914,chr1,+
ENSG00000278535.4,36591882,36600804,chr17,+
ENSG00000123136.14,14408819,14419383,chr19,-
ENSG00000137965.10,78649831,78664078,chr1,+
ENSG00000138308.5,72935170,72954778,chr10,-
ENSG00000111879.18,119011177,119078647,chr6,-
ENSG00000185359.12,81684033,81701551,chr17,+
ENSG00000177302.14,18306550,18315007,chr17,-
ENSG00000129158.10,17877847,18013012,chr11,-
ENSG00000172638.12,65866447,65872811,chr11,-
ENSG00000111581.9,68686992,68742692,chr12,+
ENSG00000048028.11,113797874,113875570,chr11,-
ENSG00000136153.19,75636658,75858675,chr13,+
ENSG00000186868.15,45894566,45979999,chr17,+
ENSG00000183048.11,81712307,81721012,chr17,+
chr17:59700000,59700097,59701425,chr17,-
ENSG00000127603.23,39468593,39486217,chr1,+
ENSG00000067082.14,3779047,3785193,chr10,-
ENSG00000165637.13,75210804,75231448,chr10,+
ENSG00000175756.13,1373737,1375173,chr1,-
chr19:16412000,16412684,16413267,chr19,+
ENSG00000143549.19,154156364,154183174,chr1,-
ENSG00000138381.9,189661459,189670831,chr2,+
ENSG00000146540.14,996986,1160219,chr7,-
ENSG00000161203.13,184174855,184184091,chr3,+
ENSG00000110799.13,5948874,5968214,chr12,-
ENSG00000114054.13,136250355,136330170,chr3,+
ENSG00000137312.14,30727830,30742733,chr6,-
ENSG00000198276.15,63939829,63956415,chr20,-
ENSG00000069974.15,55202966,55319161,chr15,-
chr6:41704000,41704659,41705940,chr6,-
ENSG00000154096.13,119418177,119423201,chr11,-
chr6:32107000,32107560,32109374,chr6,-
ENSG00000134802.17,57406954,57427121,chr11,-
ENSG00000102547.18,49308879,49444053,chr13,-
ENSG00000104805.15,48900339,48923271,chr19,+
ENSG00000108423.14,59859482,59892858,chr17,-
ENSG00000149196.15,86302243,86306656,chr11,+
chr17:16215000,16215561,16216801,chr17,+
ENSG00000105397.13,10350533,10380525,chr19,-
ENSG00000142188.16,33432485,33480011,chr21,-
ENSG00000215837.7,195658062,195671895,chr3,+
ENSG00000158483.15,71787518,71801234,chr11,+
ENSG00000162735.18,160278207,160285146,chr1,-
chr7:123655000,123655807,123658012,chr7,+
ENSG00000110066.14,68165715,68213317,chr11,-
ENSG00000155256.17,97737128,97760895,chr10,+
ENSG00000110074.10,126269157,126278131,chr11,+
ENSG00000136811.16,128456152,128500960,chr9,+
chr6:32850000,32850143,32853704,chr6,+
ENSG00000121057.12,57085717,57121349,chr17,+
ENSG00000154319.14,11421463,11474715,chr8,-
ENSG00000147274.14,136869192,136880764,chrX,-
ENSG00000244414.6,196774795,196832366,chr1,+
ENSG00000198286.9,2906141,3043845,chr7,-
ENSG00000283228.1,151801399,151973983,chr2,-
ENSG00000118246.13,206765357,206791946,chr2,+
ENSG00000089280.18,31180139,31191575,chr16,+
ENSG00000101158.13,58981275,58990400,chr20,+
ENSG00000138190.16,92848468,93057037,chr10,+
chr7:100463000,100463874,100464861,chr7,+
ENSG00000137575.11,58553254,58582860,chr8,+
ENSG00000148925.10,13388001,13463297,chr11,-
ENSG00000100612.13,60144784,60165429,chr14,-
ENSG00000156171.14,111117900,111140203,chr1,-
ENSG00000005812.10,77000747,77027195,chr13,-
ENSG00000258539.1,124622104,124791870,chr10,-
ENSG00000134222.16,109279567,109283168,chr1,-
ENSG00000168542.14,188974386,189012051,chr2,+
ENSG00000152942.18,69369820,69414801,chr5,+
ENSG00000070501.11,42338494,42371765,chr8,+
ENSG00000171564.11,154563011,154570721,chr4,+
ENSG00000198252.11,52730180,52771633,chr14,+
ENSG00000125037.12,9963641,10026357,chr3,-
ENSG00000215472.10,49481660,49492523,chr18,-
ENSG00000120708.16,136028991,136063803,chr5,+
ENSG00000015285.10,48683819,48691427,chrX,+
ENSG00000162374.16,50109816,50201402,chr1,+
ENSG00000264006.6,5158479,5185104,chr10,-
ENSG00000164733.20,11842524,11868118,chr8,-
ENSG00000132849.19,61952312,62163504,chr1,+
ENSG00000107829.13,101610666,101676714,chr10,-
ENSG00000114573.9,113747019,113810426,chr3,+
ENSG00000103035.10,74296815,74306331,chr16,+
ENSG00000115241.10,27381194,27409575,chr2,-
ENSG00000105983.20,156679938,156893216,chr7,-
ENSG00000109099.13,15229778,15262589,chr17,-
ENSG00000170464.9,139408588,139439526,chr5,-
ENSG00000103067.13,68230931,68236132,chr16,-
ENSG00000130595.17,1919706,1938706,chr11,+
ENSG00000109339.19,86100451,86453436,chr4,-
ENSG00000117394.20,42926156,42958859,chr1,-
ENSG00000104936.17,45769717,45782489,chr19,-
ENSG00000135929.8,218805914,218815288,chr2,+
chr11:65662000,65662973,65664628,chr11,+
ENSG00000134072.10,9757347,9769992,chr3,-
ENSG00000100665.11,94561442,94569902,chr14,+
ENSG00000167615.16,54449190,54462037,chr19,+
chr19:49496000,49496431,49498505,chr19,+
ENSG00000126804.13,64504726,64533388,chr14,+
ENSG00000108946.14,68512416,68532762,chr17,+
ENSG00000213928.8,24161273,24166565,chr14,+
ENSG00000137960.5,78004935,78136080,chr1,+
ENSG00000154723.12,25724480,25735033,chr21,-
ENSG00000124357.12,71068592,71078636,chr2,+
ENSG00000183527.11,39175458,39183385,chr21,-
ENSG00000118181.10,119015712,119018330,chr11,-
ENSG00000123643.12,151447614,151480144,chr5,+
chr4:1249000,1249954,1252137,chr4,+
ENSG00000171067.10,68261463,68272001,chr11,-
ENSG00000158806.13,22024760,22036897,chr8,+
ENSG00000228696.8,46274784,46361797,chr17,-
ENSG00000229180.6,66530297,66592397,chr7,-
ENSG00000148604.13,84245053,84255541,chr10,+
ENSG00000136147.17,49495961,49528987,chr13,+
ENSG00000249709.7,12461559,12551474,chr19,-
ENSG00000124164.15,58389122,58444928,chr20,+
ENSG00000247774.6,47135289,47216435,chr12,-
ENSG00000123136.14,14408819,14419383,chr19,-
ENSG00000197043.13,151101105,151157785,chr5,-
ENSG00000181222.15,7484366,7513813,chr17,+
ENSG00000101695.8,32018829,32069220,chr18,+
ENSG00000092140.14,30559158,30617229,chr14,+
ENSG00000176715.15,89093855,89154589,chr16,+
ENSG00000101019.21,35302566,35412031,chr20,-
ENSG00000111640.14,6534512,6538371,chr12,+
ENSG00000130826.17,154762852,154776911,chrX,+
ENSG00000167526.13,89560682,89563080,chr16,+
ENSG00000123064.12,113158575,113185479,chr12,-
ENSG00000204843.12,74361158,74391904,chr2,-
ENSG00000255663.1,114400613,114450276,chr11,+
ENSG00000100330.15,29883169,30027858,chr22,+
chr17:76345000,76345714,76347505,chr17,+
ENSG00000182544.8,53251251,53254404,chr12,+
ENSG00000197408.8,40991299,41018398,chr19,+
ENSG00000162300.11,65084223,65088400,chr11,+
chr5:43041000,43041744,43043002,chr5,+
ENSG00000196923.13,177483396,177497586,chr5,-
ENSG00000278540.4,37328645,37359121,chr17,-
ENSG00000113575.9,134196967,134226142,chr5,-
ENSG00000106628.10,44114687,44123532,chr7,-
ENSG00000071243.15,120950763,120975503,chr7,+
ENSG00000185619.18,705782,766599,chr4,+
ENSG00000100099.20,26453112,26483876,chr22,-
chr2:218341000,218341911,218342715,chr2,+
ENSG00000171700.13,64073181,64079492,chr20,-
ENSG00000243649.8,31946126,31952086,chr6,+
ENSG00000139613.11,56180701,56189567,chr12,-
ENSG00000104613.11,19817437,19846283,chr8,+
ENSG00000128708.12,171922448,171983682,chr2,+
chr2:69915000,69915071,69917004,chr2,+
chr10:69088000,69088103,69091939,chr10,+
ENSG00000205352.10,53441605,53446638,chr12,+
ENSG00000181192.11,12068972,12121238,chr10,+
ENSG00000108312.14,44206594,44219498,chr17,-
ENSG00000008294.20,50965644,51120865,chr17,-
ENSG00000185803.8,144358593,144361272,chr8,+
ENSG00000161939.19,7014782,7017525,chr17,+
chr11:17385000_ENSG00000187486.5,17385853,17389085,chr11,-
ENSG00000204219.9,23381371,23424707,chr1,-
ENSG00000131437.15,132695861,132737572,chr5,-
ENSG00000110697.12,67491768,67496439,chr11,-
ENSG00000072195.14,219434846,219466862,chr2,+
ENSG00000183137.14,109095519,109156793,chr6,+
ENSG00000101489.19,37244144,37485747,chr18,-
ENSG00000135624.15,73234269,73253021,chr2,+
ENSG00000074800.13,8861002,8878676,chr1,-
ENSG00000174444.14,66499320,66504827,chr15,-
ENSG00000166411.13,78149362,78171949,chr15,+
ENSG00000177731.15,18244836,18258691,chr17,-
ENSG00000135723.13,67229389,67247478,chr16,-
ENSG00000182196.13,122980928,122982913,chr12,+
ENSG00000278535.4,36591882,36600804,chr17,+
ENSG00000141127.14,18856353,18931215,chr17,+
ENSG00000234420.7,42519695,42552822,chr10,-
ENSG00000120647.9,401637,442645,chr12,+
ENSG00000166734.18,44288729,44346975,chr15,+
ENSG00000159658.10,46675159,46719064,chr1,-
ENSG00000136147.17,49495961,49528987,chr13,+
ENSG00000180398.11,46901874,46915810,chr2,-
ENSG00000112514.15,33416550,33418122,chr6,-
ENSG00000120549.17,24466531,24545316,chr10,+
ENSG00000258472.8,28603706,28614200,chr17,-
ENSG00000104870.12,49513197,49526297,chr19,+
ENSG00000161249.20,35497220,35510508,chr19,-
ENSG00000114209.14,167683910,167734851,chr3,-
ENSG00000163444.11,203007403,203023537,chr1,+
ENSG00000143575.14,154272620,154275839,chr1,+
ENSG00000143036.16,94820350,94895053,chr1,+
ENSG00000139644.12,49741547,49764742,chr12,+
ENSG00000009780.15,27725979,27761964,chr1,+
ENSG00000124659.6,42744481,42746094,chr6,-
ENSG00000079156.16,178194523,178395785,chr2,+
ENSG00000138030.12,27086747,27099969,chr2,+
ENSG00000152583.12,87473335,87529241,chr4,-
ENSG00000111640.14,6534512,6538371,chr12,+
ENSG00000168542.14,188974386,189012746,chr2,+
ENSG00000170956.16,41796602,41808261,chr19,+
ENSG00000160087.20,1254985,1273864,chr1,-
ENSG00000197858.10,144082610,144086216,chr8,+
ENSG00000138614.14,65578753,65611148,chr15,-
ENSG00000101266.17,498334,543696,chr20,-
ENSG00000066813.14,20542688,20576373,chr16,-
ENSG00000123106.10,28257200,28580278,chr12,+
ENSG00000130733.10,10922768,10928653,chr19,-
ENSG00000136717.14,127048027,127107001,chr2,-
ENSG00000122335.13,158109515,158168270,chr6,-
ENSG00000170579.16,3502219,3874767,chr18,-
chr19:50658000,50658489,50659310,chr19,+
ENSG00000196923.13,177483394,177497586,chr5,-
ENSG00000166012.16,93730200,93741495,chr11,-
ENSG00000011465.16,91145526,91180481,chr12,-
ENSG00000111186.12,1629897,1646367,chr12,+
ENSG00000276600.4,205983743,206003461,chr1,-
ENSG00000160229.11,20776304,20799882,chr19,+
ENSG00000138073.13,27130756,27134675,chr2,-
ENSG00000089737.16,94050922,94081212,chr14,-
ENSG00000132749.10,68744873,68751460,chr11,-
chr12:112062000,112062580,112063908,chr12,-
ENSG00000090487.10,64963021,64990310,chr15,-
ENSG00000056050.6,169729477,169757904,chr4,-
ENSG00000172432.18,43620490,43629162,chr6,-
ENSG00000136560.13,161160428,161204979,chr2,+
chr8:30791000,30791564,30792740,chr8,+
ENSG00000159208.15,150282543,150287093,chr1,+
ENSG00000107581.12,119037140,119080823,chr10,-
ENSG00000130175.9,11435635,11450940,chr19,+
ENSG00000174842.16,92246492,92298964,chr1,-
ENSG00000168003.16,62880896,62888875,chr11,+
ENSG00000234420.7,42520823,42552822,chr10,-
ENSG00000167964.12,2148624,2152729,chr16,+
ENSG00000105393.15,17267437,17279342,chr19,+
ENSG00000132676.15,155689083,155738529,chr1,+
ENSG00000168575.9,42416475,42541661,chr8,-
ENSG00000225648.5,72829425,72837394,chr7,+
ENSG00000164692.17,94394914,94431232,chr7,+
ENSG00000101751.10,54269551,54294719,chr18,+
ENSG00000214063.10,844081,867116,chr11,+
ENSG00000173692.12,231056894,231172824,chr2,+
ENSG00000108788.11,42567102,42572705,chr17,+
ENSG00000197614.10,8636328,8662687,chr12,-
ENSG00000083544.13,60397293,60573877,chr13,+
ENSG00000161011.19,179820905,179837255,chr5,+
ENSG00000137074.18,32972616,33025168,chr9,-
ENSG00000087191.12,63827152,63831984,chr17,+
ENSG00000170445.12,140673904,140691383,chr5,-
ENSG00000169592.14,29996210,30005793,chr16,+
ENSG00000241316.6,67654758,67753666,chr3,+
ENSG00000181523.12,80200673,80220322,chr17,-
ENSG00000099875.14,2037473,2051232,chr19,-
ENSG00000144635.8,32525971,32570874,chr3,-
ENSG00000133606.10,140453047,140479368,chr7,-
ENSG00000113712.17,149494314,149551356,chr5,-
chr15:99098000,99098227,99101223,chr15,+
ENSG00000005483.20,105014179,105101588,chr7,+
ENSG00000168890.13,85598548,85602698,chr2,-
ENSG00000147996.16,65675894,65733676,chr9,+
ENSG00000168036.16,41199505,41240443,chr3,+
ENSG00000130830.14,154778684,154805521,chrX,-
ENSG00000142166.12,33324973,33356041,chr21,+
ENSG00000196502.11,28605582,28610007,chr16,-
ENSG00000100227.17,42583721,42614962,chr22,-
ENSG00000168928.12,75204103,75207159,chr16,-
ENSG00000163827.12,46518349,46566234,chr3,-
chr10:649000,649948,652656,chr10,+
ENSG00000142002.16,4675226,4723835,chr19,-
ENSG00000179583.18,10866222,10900754,chr16,+
chr17:44003000,44003993,44004545,chr17,-
ENSG00000165487.13,21492691,21604214,chr13,-
chr1:54886000,54886875,54888850,chr1,+
ENSG00000036530.8,99684314,99727301,chr14,+
ENSG00000102858.12,4624824,4688908,chr16,+
ENSG00000073536.17,35132071,35142315,chr17,-
ENSG00000060982.14,24816578,24949086,chr12,-
ENSG00000118520.14,131573226,131584325,chr6,+
ENSG00000123240.16,13100173,13136923,chr10,+
ENSG00000197208.5,132294443,132344206,chr5,+
ENSG00000198799.11,113073209,113119786,chr1,+
ENSG00000010404.17,149495483,149505347,chrX,-
ENSG00000108821.13,50185228,50201632,chr17,-
ENSG00000197043.13,151101105,151157785,chr5,-
ENSG00000122218.14,160289273,160343271,chr1,-
ENSG00000165392.9,31033801,31069477,chr8,+
ENSG00000140416.19,63042751,63066013,chr15,+
ENSG00000168899.4,85577593,85593412,chr2,+
chr11:73404000,73404433,73405296,chr11,-
ENSG00000205629.11,25111745,25178198,chr16,+
ENSG00000123131.12,23667499,23686399,chrX,+
ENSG00000075415.12,98593686,98601668,chr12,+
ENSG00000138095.18,43888278,43996005,chr2,-
ENSG00000170365.9,145481871,145558079,chr4,+
ENSG00000005075.15,102473457,102478907,chr7,-
chr12:3215000,3215237,3217732,chr12,+
ENSG00000241553.12,9793082,9807105,chr3,+
ENSG00000172426.15,43645046,43671008,chr6,+
ENSG00000080618.13,46052806,46105076,chr13,-
chr5:16474000,16474661,16508998,chr5,-
ENSG00000134077.15,9363054,9384870,chr3,+
ENSG00000052126.14,19129752,19376400,chr12,+
ENSG00000257727.5,56312523,56316059,chr12,-
ENSG00000092841.18,56158358,56161587,chr12,+
ENSG00000146733.13,56011068,56051604,chr7,-
chr7:80646000,80646329,80647339,chr7,+
ENSG00000129484.13,20343637,20357905,chr14,+
ENSG00000081760.16,125065434,125135789,chr12,+
ENSG00000105323.16,41264372,41307598,chr19,+
ENSG00000143164.15,167936708,168075841,chr1,+
ENSG00000168542.14,188974320,189012746,chr2,+
ENSG00000110274.15,117351790,117384219,chr11,+
ENSG00000135090.13,118150957,118359166,chr12,-
ENSG00000215386.11,16194565,16627738,chr21,+
chr22:46112000,46112823,46113768,chr22,+
ENSG00000140416.19,63042747,63071885,chr15,+
ENSG00000186298.11,110719908,110742873,chr12,-
ENSG00000169045.17,179614178,179623721,chr5,-
ENSG00000162614.18,77888628,77943895,chr1,+
chr19:40589000,40589621,40590210,chr19,-
ENSG00000074582.12,218659717,218663443,chr2,+
ENSG00000197070.13,137605685,137615360,chr9,+
ENSG00000277149.4,72574515,72828198,chr7,-
ENSG00000100445.17,24439766,24442858,chr14,-
ENSG00000135903.18,222199891,222298996,chr2,-
ENSG00000213995.11,110615591,110639993,chr13,+
ENSG00000005022.5,119399380,119471319,chrX,+
ENSG00000133835.14,119452497,119542332,chr5,+
ENSG00000144712.11,12796680,12834802,chr3,+
ENSG00000137171.14,43062528,43075095,chr6,+
ENSG00000182985.17,115176295,115504415,chr11,-
ENSG00000172977.12,65712246,65719603,chr11,+
ENSG00000165533.18,88824651,88877951,chr14,+
ENSG00000069535.13,43766611,43882447,chrX,-
ENSG00000163703.17,9933822,9945413,chr3,+
ENSG00000105135.15,15114984,15125785,chr19,-
ENSG00000167380.16,44165084,44175158,chr19,+
ENSG00000127191.17,136886518,136926607,chr9,+
ENSG00000089327.14,35154730,35169859,chr19,+
ENSG00000163660.11,157147796,157160136,chr3,-
ENSG00000184110.14,28711474,28724982,chr16,+
ENSG00000104863.11,49114361,49118460,chr19,+
ENSG00000149273.14,75399518,75405628,chr11,+
ENSG00000204228.3,33204642,33206831,chr6,+
ENSG00000183474.15,69560208,69592525,chr5,+
ENSG00000204852.15,110614126,110633657,chr12,+
ENSG00000075407.18,38094368,38118977,chr10,+
ENSG00000110077.14,60172497,60184418,chr11,-
ENSG00000151247.12,98879279,98929133,chr4,-
ENSG00000115318.11,74532438,74553935,chr2,-
ENSG00000272168.6,21666444,22194948,chr6,+
ENSG00000071462.11,73683601,73698212,chr7,+
ENSG00000166598.14,103930410,103947927,chr12,+
ENSG00000040633.12,7235038,7239506,chr17,-
chr17:56894000,56894355,56895781,chr17,-
ENSG00000140374.15,76216321,76311466,chr15,-
ENSG00000004487.15,23050425,23083688,chr1,+
ENSG00000163539.16,33557357,33718213,chr3,-
ENSG00000112561.17,41683978,41735060,chr6,-
ENSG00000112130.16,37353979,37391168,chr6,+
chr12:71661000,71661485,71663858,chr12,-
ENSG00000198034.10,72272603,72277300,chrX,-
chr8:74602000_ENSG00000253341.1,74602902,74604281,chr8,-
ENSG00000253954.3,92711770,92712275,chr15,+
ENSG00000235257.8,37818003,37861728,chr3,-
ENSG00000157510.13,149271871,149324171,chr5,+
ENSG00000001631.15,92226526,92245930,chr7,-
chr8:29067000,29067278,29070493,chr8,+
ENSG00000166477.12,51938025,51971806,chr15,-
ENSG00000176919.11,136945246,136946974,chr9,+
ENSG00000101158.13,58981275,58995133,chr20,+
ENSG00000241935.8,97584343,97602240,chr10,+
chr3:15052000,15052208,15065335,chr3,-
ENSG00000241878.11,31618491,31626294,chr22,-
ENSG00000223959.8,89990332,89994956,chr16,+
ENSG00000172775.16,57153518,57186064,chr16,-
ENSG00000168878.16,85664460,85668203,chr2,-
ENSG00000145626.11,35953108,35991433,chr5,-
ENSG00000197043.13,151101105,151157785,chr5,-
ENSG00000124370.10,71116549,71130313,chr2,-
ENSG00000099622.13,1269330,1274806,chr19,+
ENSG00000133112.16,45336873,45341212,chr13,-
chr5:160037000,160037680,160038914,chr5,-
ENSG00000050748.17,180235795,180292053,chr5,-
ENSG00000104129.9,40772956,40807477,chr15,-
ENSG00000176444.18,155262868,155273516,chr1,-
ENSG00000186522.14,109545802,109613937,chr2,-
ENSG00000166902.4,59806135,59810773,chr11,-
ENSG00000160789.19,156114711,156137865,chr1,+
ENSG00000091436.16,173075959,173221578,chr2,+
ENSG00000166780.10,15434475,15587972,chr16,+
ENSG00000256206.2,14504876,14520344,chr11,-
ENSG00000080618.13,46053186,46105076,chr13,-
ENSG00000156990.14,9837849,9844018,chr3,-
ENSG00000126777.17,55580210,55684260,chr14,+
ENSG00000187953.10,6729781,6751553,chr7,+
ENSG00000122033.14,27435643,27450199,chr13,-
ENSG00000271816.1,73699151,73730466,chr10,-
ENSG00000109927.9,121024093,121131211,chr11,+
ENSG00000163472.18,156282935,156292443,chr1,+
ENSG00000178952.10,28842838,28846330,chr16,-
ENSG00000177479.19,48918823,48983679,chr3,+
ENSG00000197050.10,37078433,37130314,chr19,+
chr12:29389000,29389281,29391410,chr12,+
ENSG00000002586.18,2691280,2741300,chrX,+
ENSG00000196628.15,55227911,55401599,chr18,-
ENSG00000145321.12,71741693,71784065,chr4,-
ENSG00000215644.9,81805087,81814013,chr17,+
ENSG00000265590.9,32574141,32728040,chr21,-
ENSG00000100813.14,23063465,23078870,chr14,-
chr7:150798000,150798819,150800364,chr7,-
ENSG00000162522.10,32754019,32774970,chr1,+
ENSG00000119977.20,95663401,95693899,chr10,-
ENSG00000160055.19,32214472,32222369,chr1,-
ENSG00000160392.13,40321063,40348455,chr19,-
ENSG00000174080.10,66563464,66568596,chr11,-
ENSG00000115364.13,75646783,75691959,chr2,+
ENSG00000110801.13,121888786,121916644,chr12,+
ENSG00000121064.12,56978131,56995875,chr17,+
ENSG00000101160.13,58995185,59007230,chr20,-
ENSG00000172661.17,45727219,45754538,chr10,+
ENSG00000102763.17,41864243,41961120,chr13,-
ENSG00000080189.14,46349530,46364401,chr20,-
chr15:74955000,74955302,74957464,chr15,-
ENSG00000100014.19,24270840,24415596,chr22,+
ENSG00000108100.17,35337052,35569730,chr10,+
ENSG00000124356.15,73828962,73862806,chr2,+
ENSG00000141698.16,41825181,41836263,chr17,-
ENSG00000166598.14,103930410,103946900,chr12,+
ENSG00000111181.12,191551,214120,chr12,-
ENSG00000131778.18,147242684,147295765,chr1,+
ENSG00000158856.17,22066516,22082524,chr8,+
ENSG00000118194.18,201359015,201377762,chr1,-
ENSG00000169347.16,20310751,20327507,chr16,-
ENSG00000186994.11,8322584,8343262,chr19,-
ENSG00000165119.20,83968909,83980250,chr9,-
ENSG00000181789.14,129249606,129277773,chr3,+
ENSG00000130159.13,11505929,11528865,chr19,-
ENSG00000095303.14,122371080,122393302,chr9,+
ENSG00000184428.12,143309356,143334854,chr8,-
ENSG00000143811.18,225919878,225924340,chr1,-
ENSG00000068745.14,48688003,48717249,chr3,-
ENSG00000140416.19,63042751,63071885,chr15,+
ENSG00000198858.9,896503,913231,chr19,-
ENSG00000088833.17,1443511,1466918,chr20,-
ENSG00000082781.11,124762948,124887297,chr3,-
ENSG00000125454.11,75272981,75289449,chr17,-
ENSG00000002586.18,2691280,2741300,chrX,+
ENSG00000067225.17,72199032,72231190,chr15,-
ENSG00000165092.12,72900662,73038722,chr9,-
ENSG00000131652.13,3024061,3027755,chr16,+
ENSG00000096746.17,68332103,68342272,chr10,+
ENSG00000156219.16,76074710,76112791,chr4,+
ENSG00000171953.15,18018262,18039209,chr17,-
ENSG00000145916.18,178131017,178150565,chr5,+
ENSG00000156642.16,73570040,73633245,chr15,-
ENSG00000148584.14,50806669,50885675,chr10,-
ENSG00000034533.11,131013875,131026802,chr3,-
ENSG00000073792.15,185643739,185824892,chr3,-
ENSG00000163466.15,218217194,218254348,chr2,+
ENSG00000026025.15,17229278,17237593,chr10,+
ENSG00000196912.12,97551312,97589965,chr2,-
ENSG00000108423.14,59860013,59892858,chr17,-
ENSG00000160593.18,118193965,118224994,chr11,-
ENSG00000164761.8,118924092,118951883,chr8,-
ENSG00000100991.11,35002404,35092871,chr20,-
ENSG00000158290.16,120526396,120561440,chrX,-
ENSG00000172482.4,240868846,240879120,chr2,+
ENSG00000198700.9,201829149,201876958,chr1,+
ENSG00000103671.9,64387836,64455236,chr15,+
ENSG00000106733.20,75061200,75088217,chr9,-
ENSG00000111271.14,111686056,111757107,chr12,+
ENSG00000134470.20,5948892,5977835,chr10,-
chr17:62611000,62611915,62613489,chr17,+
ENSG00000106078.17,51017280,51316818,chr7,-
ENSG00000111203.11,2812681,2824941,chr12,+
ENSG00000023734.10,15882391,15903478,chr12,+
ENSG00000105607.12,12891160,12900670,chr19,+
ENSG00000122033.14,27435643,27450199,chr13,-
ENSG00000184489.11,141421388,141431520,chr8,+
ENSG00000104231.10,81701334,81732433,chr8,-
ENSG00000152061.23,174799932,174958187,chr1,+
ENSG00000136100.12,52413154,52450628,chr13,-
ENSG00000196923.13,177483396,177496877,chr5,-
ENSG00000163631.16,73404289,73421256,chr4,+
ENSG00000140398.13,75347038,75355251,chr15,+
chr17:75941000,75941507,75943831,chr17,-
ENSG00000100376.11,45310124,45328804,chr22,+
ENSG00000109680.10,26584084,26755351,chr4,+
ENSG00000166734.18,44288729,44414113,chr15,+
ENSG00000143549.19,154167742,154192058,chr1,-
ENSG00000145247.11,48885382,48906798,chr4,-
ENSG00000136436.14,48831026,48864866,chr17,+
ENSG00000119185.12,9406660,9423500,chr2,-
ENSG00000112137.17,12957359,13287138,chr6,+
ENSG00000087460.24,58895163,58911192,chr20,+
ENSG00000100664.10,103334192,103342640,chr14,+
ENSG00000151576.10,114056737,114088349,chr3,+
ENSG00000092841.18,56158358,56161587,chr12,+
ENSG00000198848.12,55802851,55833186,chr16,-
ENSG00000163466.15,218217194,218254348,chr2,+
ENSG00000268297.1,7787549,7790207,chr19,+
ENSG00000145826.8,135940176,135954982,chr5,-
ENSG00000137831.14,70656935,70680034,chr15,-
ENSG00000198855.6,108515300,108525837,chr12,+
ENSG00000240809.1,76433977,76436060,chr3,+
ENSG00000169371.13,75598083,75625179,chr15,-
ENSG00000167778.8,53064316,53079404,chr12,-
ENSG00000157554.18,38381969,38498483,chr21,-
